"面积","房型","装修","租金压付","租金","楼层","所属区域","所在小区","朝向","租赁方式","类型","位置","标题"
"81平米","2室2厅1卫","毛坯","半年付","2300元/月","7/11","未央","白桦林居","东西","整租","普通住宅","行政中心","地铁口  汉神购物广场  白桦林居 两室全配 可拎包入住"
"134平米","3室2厅1卫","简单装修","半年付","3500元/月","21/34","雁塔","高新大都荟","朝南","整租","普通住宅","光华路","高新四路 高新大都荟精装三室 办公好房 看房方便"
"17平米","4室1厅1卫","精装修","付1押1","600元/月","14/26","雁塔","长丰园小区","南北","合租","普通住宅","电视塔","电视塔 长丰园 精美单间 押一付一 可短租 可做饭 看房随时"
"91平米","2室2厅1卫","精装修","半年付押1","2300元/月","18/30","莲湖","宏府鹍翔九天","朝南","整租","普通住宅","红光路","业主婚房急出租 昆明路 鹍翔九天 两室精装修全配看房随时"
"33平米","1室1厅1卫","精装修","面议","1500元/月","17/30","长安","林隐天下(公寓)","朝南","整租","公寓","祝村中学","高新区西部大道上林隐天下精装1室好房诚心长期出租拎包入住"
"39平米","1室1厅1卫","精装修","面议","1350元/月","7/32","灞桥","龙湖香醍国际","朝西","整租","普通住宅","长乐坡","龙湖香醍国际社区 1室1厅 39平"
"40平米","1室1卫","精装修","半年付","1600元/月","15/32","雁塔","融尚第10区","朝南","整租","普通住宅","明德门","电子城，小寨，电视塔，朱雀大街融尚小区1室精装拎包入住有钥匙"
"70平米","1室1厅1卫","精装修","半年付","2200元/月","14/33","碑林","南门国际","朝西","整租","普通住宅","南稍门","南门地铁口 南门国际 1室1厅1卫 房价2200 拎包入住"
"80平米","2室2厅1卫","精装修","半年付","1200元/月","10/19","长安","春天花园","朝南","整租","普通住宅","长安广场","超低一口价1200租2房80平干净没问题，一年起租可半年付"
"193平米","4室2厅2卫","精装修","年付","11000元/月","1/18","雁塔","融侨曲江观邸","南北","整租","普通住宅","雁塔南路","曲江观邸 一楼精装全配 带花园 南北通透 拎包入住"
"104平米","2室2厅1卫","简单装修","付3押1","2100元/月","9/18","未央","明园小区","东南","整租","普通住宅","大明宫","大明宫西地铁口 2室精装全配宜居房 近学校医院 近地铁"
"98平米","2室2厅1卫","精装修","面议","1600元/月","21/28","灞桥","翠屏湾","南北","整租","普通住宅","十里铺","钥匙房源 干净整洁 交通便利 临公交车站 临东方罗马花园"
"40平米","1室1厅1卫","精装修","半年付","1600元/月","17/32","雁塔","中海紫御华府中海派","朝南","整租","普通住宅","曲江大道","紫御华府 一居室出租  精装全配  拎包入住 临地铁"
"89平米","2室2厅1卫","精装修","半年付","1800元/月","26/30","雁塔","卡布奇诺公馆","西北","整租","普通住宅","大寨路","大寨路卡布奇诺公馆，精装两室空房，业主诚心出租，交通便利"
"58平米","2室1厅1卫","精装修","半年付","1900元/月","11/33","雁塔","枫林绿洲云顶园","朝南","整租","普通住宅","高新一中","云顶园精装一室一厅朝南户型领包入住，看房方便！"
"47平米","2室2厅1卫","精装修","半年付","1200元/月","6/9","西安周边","泰盈奥林匹克花园","朝南","整租","普通住宅","咸阳","世纪大道 奥林匹克花园 经典公寓 两室两厅"
"60平米","2室1厅1卫","简单装修","付3押1","1300元/月","2/6","莲湖","庆安小区","东南","整租","普通住宅","土门","创新路庆安小区 1楼房子 温馨两室 看房随时"
"94平米","2室2厅1卫","精装修","半年付押1","1800元/月","4/7","未央","华宇凤凰城","南北","整租","普通住宅","三桥","三桥地铁口  精装两室双气  婚房一次出租  看房方便"
"61平米","2室1厅1卫","精装修","半年付押1","2300元/月","4/30","雁塔","城市皇冠","朝北","整租","普通住宅","光华路","高新四路 城市皇冠 精装全配小两室 干净整洁 随时看房"
"95平米","2室2厅1卫","精装修","半年付","2200元/月","3/34","未央","世融嘉轩","朝南","整租","普通住宅","凤城五路","世融嘉轩 精装修两居室 拎包入住"
"68平米","2室2厅1卫","精装修","付3押1","2100元/月","17/33","雁塔","华城泊郡","朝南","整租","普通住宅","雁环中路","雁塔电视塔 地铁口 华城泊郡 精装温馨2室全配 高性价拎包住"
"45平米","1室1厅1卫","精装修","半年付押1","1700元/月","17/32","莲湖","达成馨苑","朝南","整租","普通住宅","西关正街","西关正街西关租房莲湖西关租房"
"18平米","3室1厅2卫","精装修","付1押1","850元/月","8/28","未央","尚品雅苑","朝南","合租","普通住宅","大明宫","大明宫西地铁口50米 尚品雅苑 精装全配 押一付一 可做饭"
"91平米","2室2厅1卫","精装修","面议","2200元/月","5/6","雁塔","世家星城E区","南北","整租","普通住宅","长安西路","世家星城一期精装修2室，采光好，出租"
"102平米","2室2厅1卫","毛坯","面议","3000元/月","20/29","莲湖","开元商住小区","西南","整租","普通住宅","西关正街","西稍门 开元小区 精装两室 全配拎包入住 出租3000"
"53平米","1室1厅1卫","精装修","面议","1950元/月","21/26","雁塔","金泰假日花城","朝北","整租","普通住宅","电子城","电子城 婚房急租 金泰假日花城 温馨一室 浪漫生活 太白南路"
"57平米","1室1卫","简单装修","半年付","1300元/月","10/27","新城","新兴骏景园","朝南","整租","普通住宅","胡家庙","东二环 胡家庙 地铁口 新兴骏景园 简装  朝南户型"
"120平米","3室2厅2卫","精装修","半年付","3600元/月","8/12","雁塔","枫韵蓝湾","南北","整租","普通住宅","大寨路","科技路地铁口枫韵蓝湾小区，精装三室全配拎包入住，上班方便"
"129平米","3室2厅2卫","精装修","半年付","4200元/月","18/33","碑林","翡翠明珠","东北","整租","普通住宅","南稍门","有家有爱有温馨 急租翡翠明珠3室 超值"
"130平米","3室2厅2卫","精装修","半年付","3500元/月","1/34","新城","白桦林明天北区","南北","整租","普通住宅","含元路","含元路，白桦林明天一期，精装，全配，322"
"20平米","3室1厅1卫","精装修","付1押1","500元/月","3/7","碑林","发改委家属院","朝南","合租","公寓","南稍门","可月付 南稍门 友谊路与文艺路十字 华润万家 发改委家属院"
"25平米","3室1厅2卫","精装修","付1押1","930元/月","10/29","雁塔","牡丹庄园","朝南","合租","普通住宅","大寨路","沣惠南路 昆明路 牡丹庄园 三室精装 免物业网费 月付"
"50平米","1室1卫","精装修","付3押1","2000元/月","18/26","雁塔","龙记观澜山","朝东","整租","普通住宅","高新一中","此房急租！照片真实 科技二路龙记观澜山 一室开间全配 随时看"
"25平米","1室1卫","精装修","付1押1","280元/月","2/7","雁塔","鱼化小区","朝东","整租","普通住宅","鱼化寨","鱼化寨邮局空房出租，有好礼相送！"
"20平米","3室1厅1卫","精装修","付3押1","600元/月","6/7","碑林","保吉巷小区","南北","合租","普通住宅","南门","保吉巷小区 精装单间 600起租 随时入住有意者联系"
"90平米","2室2厅1卫","精装修","付3押1","2000元/月","16/32","雁塔","锦都荟","西南","整租","普通住宅","锦业路","低.价来袭！锦业路 锦都荟 尚品美地城 精装全配2室 拎包住"
"98平米","2室2厅1卫","精装修","半年付","2700元/月","24/30","长安","雅居乐花园","朝南","整租","普通住宅","郭杜","雅居乐花园三室精装全配，急租！！！"
"88平米","2室2厅1卫","精装修","半年付押1","2400元/月","7/26","雁塔","天朗蓝湖树","朝南","整租","普通住宅","鱼化寨","天朗蓝湖树，两室精装随时看房，出门就是影院，超市，医院，地铁"
"92平米","2室1厅1卫","精装修","面议","2200元/月","24/33","未央","鼎正大都城","朝西","整租","普通住宅","张家堡","鼎正大都城 2室1厅 92平"
"50平米","1室1厅1卫","精装修","付3押1","1600元/月","21/28","未央","万象未央","朝东","整租","普通住宅","大明宫","大明宫西 公交六公司 果粒橙 一室豪装 白菜价急租 随时看"
"90平米","2室2厅1卫","精装修","半年付押1","2500元/月","10/20","雁塔","都市印象SOLO街区","朝南","整租","普通住宅","科技路","科技路西口都市印象楼下就是地铁3号线华润万家可办公可住家"
"107平米","2室2厅1卫","精装修","半年付押1","3500元/月","13/18","莲湖","公园天下","朝南","整租","普通住宅","丰庆公园","境商 公园旁 公园天下 精装修纯南两室 采光好 带家具家电"
"48平米","1室2厅1卫","简单装修","年付","1100元/月","14/18","新城","建勋景怡鑫苑小区","朝西","整租","普通住宅","胡家庙","胡家庙 长缨东路 2室1厅 全拎包入住"
"25平米","4室2厅2卫","简单装修","付1押1","800元/月","12/22","雁塔","小悉尼新都","朝南","合租","普通住宅","光华路","押一付一 太白南路 太白立交 小悉尼新都 光华路 曼哈顿洋房"
"64平米","1室1厅1卫","简单装修","半年付押1","1800元/月","12/12","莲湖","愉景华庭","朝南","整租","普通住宅","西大街","北大街 地铁口 莲湖公园 一室一厅出租办公 看房方便"
"90平米","2室1厅1卫","精装修","半年付","2100元/月","29/30","莲湖","羽源欣居","朝南","整租","普通住宅","西关正街","西关 南小巷内 羽源欣居 2室 朝南 全配 干净 拎包入住"
"131平米","3室2厅2卫","精装修","半年付押1","2500元/月","16/29","未央","海璟蓝寓","东南","整租","普通住宅","凤城五路","海璟蓝寓 精装装修三室 拎包入住 全新家具家电 出行便利"
"82平米","2室2厅1卫","精装修","半年付","2200元/月","16/30","雁塔","长丰园小区","西南","整租","普通住宅","电视塔","繁华地段 * 长丰园 精装两居 全新家具家电 全新壁纸"
"118平米","3室2厅1卫","精装修","半年付","2500元/月","12/32","莲湖","景寓学府","南北","整租","普通住宅","西关正街","景寓学府  精装修空房出租   交通便利  环境优美"
"108平米","3室2厅1卫","精装修","半年付","2800元/月","16/30","碑林","白庙公寓","朝南","整租","普通住宅","西工大","边家村，太白立交，白庙公寓3室全配，拎包入住，"
"43平米","1室1卫","精装修","半年付","2200元/月","17/34","莲湖","西市佳园","朝北","整租","公寓","丰庆公园","西市佳园 精装开间出租 家具家电齐全 拎包入住 有钥匙看房方"
"88平米","2室2厅1卫","精装修","半年付押1","2600元/月","9/31","雁塔","紫薇曲江意境","朝南","整租","普通住宅","南湖","紫薇意境  两室全配  看房方便  不临街"
"79平米","2室2厅1卫","精装修","半年付","2500元/月","11/32","莲湖","嘉天Smart","东南","整租","普通住宅","丰庆公园","南二环边上 嘉天 精装 2室2厅 朝向东南 拎包入住急租"
"95平米","2室1厅1卫","精装修","面议","1800元/月","15/32","未央","华远君城","南北","整租","普通住宅","辛家庙","华远君城 2室1厅 95平"
"126平米","3室2厅2卫","简单装修","付3押1","3800元/月","2/30","雁塔","伟业公馆","南北","整租","普通住宅","大寨路","伟业公馆中等装修3室出租。可 住家 皆可 先到先得"
"85平米","3室2厅2卫","精装修","付3押1","2000元/月","16/30","未央","祯祥宝库","朝南","整租","普通住宅","方新村","龙首原地铁口 三室两厅 精装全配 拎包入住随时看房"
"110平米","3室1厅1卫","简单装修","年付","2100元/月","3/18","灞桥","沁水新城","南北","整租","普通住宅","长乐坡","沁水新城 两室全配，房子漂亮整洁，随时拎包入住随时看随时住"
"120平米","3室2厅2卫","精装修","付3押1","2800元/月","15/29","莲湖","枫韵沁园","南北","整租","普通住宅","龙首村","地铁口旁 环境好梦想的港湾 从点击这里开始 只等待有品味的您"
